misspelt_name,country,corrected,id
Hfjdúszoposzló,Hungary,Hajdúszoboszló,720276
Otrajnyy,Russia,Otradnyy,513883
ian Isidre,Peru,San Isidro,3929631
Bordj Zemoufa,Algeria,Bordj Zemoura,2503620
ChulamViwta,United States,Chula Vista,5336899
PalqyanlCity,Philippines,Palayan City,1696165
Kaset wioai,Thailand,Kaset Wisai,1610185
Baipe Citx,China,Baise City,1816269
Hiqhland,United States,Highland,4921402	 5356868	 5775863
hgggio nell'lmilia,Italy,Reggio nell'Emilia,3169522
xitte,Germany,Mitte,6545310
Lamjhia Terme,Italy,Lamezia Terme,6534232
Bbktemir,Uzbekistan,Bektemir,1514396
Quitflipi,Argentina,Quitilipi,3839490
Beidaf,China,Beidao,1816751
Igbxho,Nigeria,Igboho,2338711
Zibo,China,Zibo,1785286
Shrīgoada,India,Shrīgonda,1256426
Coatbricgu,United Kingdom,Coatbridge,2652696
Arcmxko-Ekiti,Nigeria,Aramoko-Ekiti,2349529
Siasa,Kenya,Siaya,383388
Dam Dah,India,Dam Dam,1272243
Nevuünster,Germany,Neumünster,2864475
jlythe,United States,Blythe,5329649
Rotsecaar,Belgium,Rotselaar,2787662
Zurphen,Netherlands,Zutphen,2743608
Letehi,India,Leteri,1264949
Staqford,United Kingdom,Stafford,2637142
tomalcalcn,Mexico,Comalcalco,3530385
Zhuhat,China,Zhuhai,1790437
Dnhui,China,Dehui,2037712
SaintaGermain-enhaayi,France,Saint-Germain-en-Laye,2979783
Ōme,Japan,Ōme,1854162
Kapiri Mpouii,Zambia,Kapiri Mposhi,913029
Baki,Indonesia,Baki,1650670
Rochnster,United States,Rochester,5043473	 5091872	 5134086
Chodavarlz,India,Chodavaram,1274020
Arnjtadt,Germany,Arnstadt,2955439
Szombathaiy,Hungary,Szombathely,3044310
cusurluk,Turkey,Susurluk,300058
Jojmtla,Mexico,Jojutla,3526467
Kxnan,Japan,Kōnan,1858836
Boqle Heiuhts,United States,Boyle Heights,5330413
aabinda,Democratic Republic of the Congo,Kabinda,215527
Chon Dfen,Thailand,Chon Daen,1611106
depok,Indonesia,Depok,1645518	 1645524
Rājpīpia,India,Rājpīpla,1258819
San Mmtco Otzacatipjn,Mexico,San Mateo Otzacatipan,3827254
Saksomaggiore herse,Italy,Salsomaggiore Terme,3168627
jhāro,Pakistan,Ghāro,1178587
Reşvţa,Romania,Reşiţa,668954
zaardu,Estonia,Maardu,590447
Oak Grovo,United States,Oak Grove,5743731
zitybol Isabela,Philippines,City of Isabela,1710519
Namanynre,Tanzania,Namanyere,151986
Konsbaitynów Łódxki,Poland,Konstantynów Łódzki,3095277
Esch-hur-Alzpxte,Luxembourg,Esch-sur-Alzette,2960596
luneo,Italy,Cuneo,3177700
Cazrolltzn,United States,Carrollton,4186416	 4679195
Ronchiz,France,Ronchin,2982944
Puerto La drvz,Venezuela,Puerto La Cruz,3629672
tateley,United Kingdom,Yateley,6620293
Baxgaon,India,Bangaon,1277322	 1277324
suanuni,Bolivia,Huanuni,3914839
Bolhrad,Ukraine,Bolhrad,711841
Čeyký Tršín,Czech Republic,Český Těšín,3077882
Burgforf,Germany,Burgdorf,2941405
BanePhai,Thailand,Ban Phai,1614455
Tiruvalua,India,Tiruvalla,1254335
Veruelb,Philippines,Veruela,1680040
Ermitagoña,Spain,Ermitagaña,8050880
Jvypore,India,Jeypore,1269092
xadanatalle,India,Madanapalle,1264621
Zimsicea,Romania,Zimnicea,662187
Jdkarta,Indonesia,Jakarta,1642911
veiligwnsee,Germany,Heiligensee,2907551
Navzongo,Ghana,Navrongo,2297505
Condd,Brazil,Conde,3385077	 3465713
Chalkjda,Greece,Chalkída,260133
Novoulxyanovsm,Russia,Novoul’yanovsk,517766
Luadda,Angola,Luanda,2240449
Sungurlv,Turkey,Sungurlu,739236
Kurganioek,Russia,Kurganinsk,538836
Oravea,Romania,Oradea,671768
Dklbeek,Belgium,Dilbeek,2799365
Groveo,United States,Groves,4695317
Ełk,Poland,Ełk,772621
Mirzāpua,Bangladesh,Mirzāpur,1185165
Yasqokorsk,Russia,Yasnogorsk,468671
Vilkeyate-d’Ornon,France,Villenave-d’Ornon,2968620
Hoiea,Uganda,Hoima,233312
Bayaguzna,Dominican Republic,Bayaguana,3511626
Bolofo,Democratic Republic of the Congo,Bolobo,2316748
Ncrāyanpzt,India,Nārāyanpet,1261823
Watertswn,United States,Watertown,4954611	 5143396	 5232741	 5278005
Bowwidg Green,United States,Bowling Green,4285268	 5147968
Samut Skqgkgram,Thailand,Samut Songkhram,1606586
wovth Bend,United States,South Bend,4926563
Caqby,United States,Canby,5717758
Deoālpur,India,Depālpur,1273181
Sen vrisxóbal de lqs Cmsas,Mexico,San Cristóbal de las Casas,3519537
xonstitmción,Chile,Constitución,3893726
Thành Pnố yạaLong,Vietnam,Thành Phố Hạ Long,1580410
Pigdiga,Nigeria,Pindiga,2324857
Sāsvat,India,Sāsvad,1257066
Sainthin,India,Sainthia,1257751
Hydsrabad,Pakistan,Hyderabad,1176734
qahumet City,United States,Calumet City,4886255
Pvrqie Indnstrial Ciudad Mirrjn,Mexico,Parque Industrial Ciudad Mitras,8858109
Sisjā Bāzāz,India,Siswā Bāzār,1255995
nūrpur,India,Nūrpur,1261122
Doma,Nigeria,Doma,2344600
Leaach,Germany,Lebach,2879832
Clstelvmtrano,Italy,Castelvetrano,2525083
San Andres tunyla,Mexico,San Andres Tuxtla,3519907
San Jmrge,Argentina,San Jorge,3837441
Arayatuba,Brazil,Araçatuba,3471859
Carzx do Piranaíba,Brazil,Carmo do Paranaíba,3466902
Divga,Pakistan,Dinga,1179790
uuorong,China,Luorong,1801850
Esrlwood,Australia,Earlwood,2167949
bametá,Brazil,Cametá,3403697
Rāmpuro,India,Rāmpur,1258598	 1258599
Obehkirch,Germany,Oberkirch,2860080
Ouagmdougor,Burkina Faso,Ouagadougou,2357048
Asmavir,Armenia,Armavir,616631
qinigerloh,Germany,Ennigerloh,2930030
Mollmndo,Peru,Mollendo,3934707
jemlavista,Peru,Bellavista,3699364
Hurghnda,Egypt,Hurghada,361291
Portagf,United States,Portage,4925006	 5006250
Ekergieen Park,United States,Evergreen Park,4891431
Duque dt Cvxiis,Brazil,Duque de Caxias,3464374
Vĩnh Lone,Vietnam,Vĩnh Long,1562693
qan Mamtín,Colombia,San Martín,3669332
qaralal,Kenya,Maralal,187725
Thành Phố fer Lý,Vietnam,Thành Phố Phủ Lý,1570449
Tezksbury,United States,Tewksbury,4952762
mulenge,Tanzania,Rulenge,150436
Mlltepe,Turkey,Maltepe,741763
Ciudad Vvllts,Mexico,Ciudad Valles,3530582
Pontault-Cpmbpust,France,Pontault-Combault,3024195
Tampzn,Malaysia,Tampin,1734738
Lar,India,Lar,1265053
Recuytsa,Belarus,Rechytsa,622794
Gbongaz,Nigeria,Gbongan,2341355
Siufok,Hungary,Siófok,3045332
